Username,Total_Games_January,Min_RATING_January,Max_RATING_January
Taranj,65,0,0
abhinavspeakss,66,0,0
TF58,84,0,0
wasufin,18,0,0
Salahor,119,0,0
AppositeDuck,21,0,0
Bad_player01011,71,0,0
Ehuez,30,0,0
sunnyyxd,89,0,0
Thane93,16,0,0
Yasemin246743,33,0,0
Luntak_lantung,30,0,0
eulthltvblbqy,18,0,0
cyryl85,46,0,0
CHRISDAA2014,18,0,0
breakmansego,61,0,0
mohamedelganzory,211,0,0
nyls7,44,0,0
MalekNahry,138,0,0
alialshanty,80,0,0
Chesterking11,19,0,0
truongdinhlam2015,19,0,0
cks8040,15,0,0
mesedian1234,19,0,0
MsoLaf,33,0,0
MBUYANE,111,0,0
Laxavz,15,0,0
sergita,89,0,0
shreyad17,125,0,0
Finnick73,15,0,0
itsDani,16,0,0
Bohemian490,54,0,0
ash303,30,0,0
ergili,55,0,0
anatoliy1951,525,0,0
unchiu56,289,0,0
EitanFarfan,28,0,0
Zent_VN,15,0,0
BR74,15,0,0
peltok,23,0,0
smeshnayalimonka,17,0,0
Dil3mma,125,0,0
No_One512,35,0,0
AxL-K,25,0,0
Diavaler,15,0,0
DrAbosaeed,101,0,0
Marco_spielt_Schach,44,0,0
ironman3512,45,0,0
thissomedude69,100,0,0
SaiSuryanshuMohanty,129,0,0
Ryryabc,15,0,0
moslem_carlsen,112,0,0
scharfschuetzer,54,0,0
Ujox00,48,0,0
killemdead21,38,0,0
V_i_l_i_k,23,0,0
